Province,Age,Gender,Education,Employment,Income_Group,Weight,Rel_Satisfaction,Online_Contact_Freq,SM_Interfere_Rel,SM_Interfere_Life,SM_Anxious_Envious,SM_AI_Chatbot,SM_AI_Email,Household_Type,Online_Shopping
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1392.142778493,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"$42,257 – $72,366",1692.873120538,Somewhat satisfied,Everyday,Yes,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1233.481371835,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,,,"$107,481 – $163,750",1410.759588443,,,,,,,,Single-person household,
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1742.160941101,Completely satisfied,A few times a week,No,No,No,Yes,No,Family with children <18,Did not shop online
Manitoba,45–54 years,Female,University degree,Not employed,"$42,257 – $72,366",934.024885682,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,35–44 years,Male,High school or less,Employed,"$72,367 – $107,480",730.655079024,Completely satisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Family with children <18,Did not shop online
Alberta,55–64 years,Male,University degree,Employed,"$107,481 – $163,750",1727.744339895,Somewhat satisfied,Everyday,No,No,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,65 years and over,Male,University degree,Employed,"$72,367 – $107,480",970.07965448,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,15–24 years,Female,High school or less,Not employed,"≤ $42,256",4989.565855681,Neutral,Everyday,Yes,Yes,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",710.592922157,Neutral,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",572.807508594,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Did not shop online
Ontario,35–44 years,Male,High school or less,Employed,"≤ $42,256",2271.033150959,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,,Online shopper (≥ $1)
Quebec,35–44 years,Male,High school or less,Employed,"$42,257 – $72,366",1049.459070297,Somewhat dissatisfied,2–3 times a month,No,No,Yes,Yes,No,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Not employed,"≤ $42,256",1789.273023486,Completely satisfied,A few times a week,No,No,No,Yes,No,Single-person household,Did not shop online
Quebec,45–54 years,Female,,,"≥ $163,751",822.039149888,Somewhat satisfied,Once a week,No,No,No,,,Family with children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,University degree,Employed,"$42,257 – $72,366",1855.025674921,Neutral,Everyday,Yes,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,University degree,Not employed,"$107,481 – $163,750",405.45990645,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1005.10323831,Neutral,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",518.295072898,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Female,High school or less,Employed,"$42,257 – $72,366",1412.460496736,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",200.61368649,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Nova Scotia,25–34 years,Male,University degree,Employed,"$42,257 – $72,366",990.264343938,Neutral,Everyday,No,Yes,No,No,No,,Online shopper (≥ $1)
Quebec,35–44 years,Female,University degree,Employed,"≥ $163,751",1540.150126138,Neutral,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",590.55211543,Somewhat satisfied,A few times a week,Yes,No,Yes,Yes,Yes,Single-person household,Did not shop online
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1831.335843011,Somewhat satisfied,Once a month,No,No,No,No,Yes,Family without children <18,Did not shop online
Quebec,55–64 years,Male,University degree,Not employed,"$72,367 – $107,480",520.606169515,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Male,University degree,Employed,"$72,367 – $107,480",1372.774457979,Somewhat dissatisfied,A few times a week,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",541.806996509,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,55–64 years,Male,High school or less,Employed,"$72,367 – $107,480",475.279954636,,,,,,,,Single-person household,
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",522.961995819,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Saskatchewan,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",541.744455018,Completely satisfied,Not in the past month,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Saskatchewan,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",677.711288377,Completely satisfied,,,,,No,No,Family with children <18,Did not shop online
Quebec,65 years and over,Male,University degree,Employed,"$42,257 – $72,366",1871.011111139,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Female,High school or less,Employed,"≤ $42,256",772.793917572,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",2291.322410231,Neutral,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,35–44 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",397.659179486,Neutral,,No,No,Yes,No,No,Family without children <18,Did not shop online
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",3275.817400972,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,65 years and over,Female,High school or less,Employed,"≥ $163,751",690.566954318,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,25–34 years,Female,High school or less,Employed,"≤ $42,256",6217.144062642,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",865.239244619,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",1422.999008173,Neutral,Everyday,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,65 years and over,Female,High school or less,Not employed,"≤ $42,256",288.423299947,Somewhat satisfied,A few times a week,No,No,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Male,University degree,Employed,"$42,257 – $72,366",2059.873210402,Completely satisfied,Everyday,No,No,No,Yes,Yes,,Online shopper (≥ $1)
Quebec,55–64 years,Female,University degree,Not employed,"≤ $42,256",1334.354849917,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Quebec,15–24 years,Male,High school or less,Not employed,"≤ $42,256",3118.894421547,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Newfoundland and Labrador,15–24 years,Female,High school or less,Not employed,"$107,481 – $163,750",1932.845046078,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Male,High school or less,Employed,"≤ $42,256",1414.967454292,,,,,,,,Single-person household,
Ontario,35–44 years,Male,University degree,Employed,"≤ $42,256",1413.297916578,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Male,University degree,Employed,"$107,481 – $163,750",1573.219131733,Somewhat satisfied,,No,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Not employed,"≥ $163,751",1824.841040193,Completely satisfied,Everyday,No,Yes,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,65 years and over,Female,High school or less,Not employed,"$72,367 – $107,480",1962.131282853,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Did not shop online
New Brunswick,65 years and over,Female,High school or less,Not employed,"≤ $42,256",215.360747465,Completely dissatisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Newfoundland and Labrador,45–54 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",187.969912321,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Alberta,25–34 years,Female,University degree,Employed,"≥ $163,751",1024.590131856,Somewhat satisfied,Once a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,25–34 years,Female,University degree,Employed,"≤ $42,256",2216.371323787,Completely satisfied,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Saskatchewan,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",524.076094353,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",2702.594819014,Completely satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1437.896334849,Completely dissatisfied,Once a month,No,No,Yes,Yes,Yes,Family with children <18,Did not shop online
Ontario,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1120.322208232,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Alberta,35–44 years,Male,University degree,Employed,"$107,481 – $163,750",2435.376405931,Neutral,2–3 times a month,No,No,No,Yes,No,Family with children <18,Did not shop online
New Brunswick,55–64 years,Female,University degree,Employed,"$107,481 – $163,750",467.935808788,Somewhat dissatisfied,2–3 times a month,No,Yes,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Male,High school or less,Employed,"≥ $163,751",265.60755002,Completely satisfied,2–3 times a month,No,No,No,No,Yes,Family without children <18,Did not shop online
Ontario,55–64 years,Female,University degree,Employed,"$107,481 – $163,750",930.395127897,Somewhat satisfied,Everyday,No,Yes,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",468.007798967,Somewhat satisfied,Once a week,No,No,No,No,No,,Did not shop online
British Columbia,25–34 years,Male,University degree,Employed,"≥ $163,751",2111.866508182,Somewhat satisfied,2–3 times a month,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",268.589807085,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",2540.937141033,Completely satisfied,Once a month,No,Yes,No,No,Yes,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Not employed,"≥ $163,751",1114.009144721,Neutral,,No,No,No,Yes,Yes,Family without children <18,Did not shop online
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",585.544542155,Somewhat satisfied,Everyday,Yes,No,No,No,No,Family without children <18,Did not shop online
Manitoba,55–64 years,Female,University degree,Employed,"≤ $42,256",470.525786362,Completely satisfied,2–3 times a month,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",716.52207702,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Prince Edward Island,25–34 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",214.322192954,Somewhat satisfied,Everyday,No,No,No,,,Single-person household,Online shopper (≥ $1)
Newfoundland and Labrador,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",240.490674212,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,High school or less,Not employed,"≥ $163,751",600.426843738,Somewhat satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Prince Edward Island,55–64 years,Male,High school or less,Not employed,"≤ $42,256",261.019220124,,,,,,,,Single-person household,
Ontario,45–54 years,Male,University degree,Employed,"$107,481 – $163,750",1224.095489061,Neutral,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Female,University degree,Not employed,"$42,257 – $72,366",573.56601571,Neutral,Everyday,Yes,Yes,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,35–44 years,Male,High school or less,Employed,"$107,481 – $163,750",1710.242855673,Neutral,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1370.832002861,Neutral,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Alberta,15–24 years,Male,High school or less,Employed,"≤ $42,256",7682.395164439,Somewhat satisfied,A few times a week,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",2414.11618858,Neutral,,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",796.34844642,Somewhat satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",572.807508594,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Saskatchewan,25–34 years,Female,University degree,Employed,"$42,257 – $72,366",1367.877907072,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1115.468522886,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,University degree,Not employed,"$42,257 – $72,366",675.906259209,Neutral,Everyday,Yes,Yes,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,35–44 years,Male,High school or less,Employed,"$107,481 – $163,750",1124.495676284,Neutral,Everyday,No,Yes,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1610.279390955,Somewhat satisfied,A few times a week,Yes,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",729.308156083,Somewhat satisfied,,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",865.621065836,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",2346.18477378,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"≥ $163,751",1118.310073815,Neutral,Everyday,No,Yes,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,,,"≤ $42,256",4065.282913386,Somewhat dissatisfied,,No,No,No,,,Single-person household,
Alberta,55–64 years,Female,High school or less,Not employed,"≤ $42,256",2624.644298181,Completely satisfied,Everyday,No,No,No,,,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",929.708585733,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",448.03047819,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,65 years and over,Female,University degree,Not employed,"$42,257 – $72,366",57.223569323,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Alberta,45–54 years,Male,University degree,Employed,"≥ $163,751",1828.904715018,Somewhat satisfied,Everyday,Yes,Yes,No,Yes,No,Single-person household,Did not shop online
Quebec,55–64 years,Female,High school or less,Not employed,"$107,481 – $163,750",496.642074581,Completely satisfied,,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,25–34 years,Female,High school or less,Not employed,"$107,481 – $163,750",2319.399382048,Completely satisfied,Everyday,Yes,No,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,,,"$107,481 – $163,750",4573.478426289,Neutral,Everyday,No,No,No,,,Family without children <18,Did not shop online
Quebec,55–64 years,Female,High school or less,Not employed,"$42,257 – $72,366",895.09656471,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Alberta,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1726.094710916,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Quebec,45–54 years,Male,University degree,Employed,"$107,481 – $163,750",1000.000613425,Completely satisfied,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Saskatchewan,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",535.668242704,Somewhat satisfied,Once a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",802.768501866,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",7245.461213597,Somewhat dissatisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,45–54 years,Female,University degree,Employed,"≥ $163,751",511.546199147,Somewhat satisfied,A few times a week,No,Yes,Yes,No,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",983.318881263,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"≥ $163,751",1837.995417401,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Quebec,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1492.763870723,Completely satisfied,2–3 times a month,No,Yes,No,Yes,No,Family without children <18,Did not shop online
Ontario,35–44 years,Male,University degree,Employed,"$107,481 – $163,750",1251.020056324,Completely satisfied,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",580.691237792,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Alberta,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1517.518271384,Neutral,Everyday,No,No,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",2477.931494005,Neutral,,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,25–34 years,Male,High school or less,Employed,"$42,257 – $72,366",8059.211722597,Completely satisfied,Once a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",1120.322208232,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",2616.058315639,Completely satisfied,A few times a week,No,No,No,,,Single-person household,Did not shop online
Ontario,55–64 years,Female,University degree,Not employed,"$107,481 – $163,750",1351.794681617,Completely satisfied,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"$107,481 – $163,750",2273.736015254,Somewhat satisfied,A few times a week,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,University degree,Employed,"≥ $163,751",913.384176885,Somewhat satisfied,A few times a week,No,Yes,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"≤ $42,256",2056.331801608,Somewhat satisfied,Once a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",1172.925448892,Completely satisfied,A few times a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",220.09054658,Completely satisfied,,No,No,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,,Not employed,"$72,367 – $107,480",186.256652697,,,No,No,No,,,Single-person household,Did not shop online
Newfoundland and Labrador,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",483.46938441,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",2061.552912085,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1123.515703493,Completely satisfied,Everyday,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Male,University degree,,"$107,481 – $163,750",115.043391574,Neutral,2–3 times a month,No,No,Yes,No,No,Family with children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,University degree,Not employed,"$107,481 – $163,750",2258.575242576,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",558.378439921,Somewhat dissatisfied,A few times a week,Yes,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",679.840724166,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,University degree,Employed,"≥ $163,751",648.426034571,Completely satisfied,,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Quebec,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",729.308156083,Neutral,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Female,High school or less,,"$72,367 – $107,480",865.239244619,Completely satisfied,A few times a week,No,No,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Male,University degree,Employed,"$107,481 – $163,750",592.24897073,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",1229.164060929,Completely satisfied,Everyday,No,No,No,No,Yes,,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",1615.154603274,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Male,,,"$107,481 – $163,750",2148.769229213,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,15–24 years,Female,High school or less,Employed,"$107,481 – $163,750",2062.143259186,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,35–44 years,Female,University degree,Employed,"≥ $163,751",411.3705453,Somewhat satisfied,Once a month,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",2038.95833255,Somewhat satisfied,Everyday,No,No,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Employed,"≥ $163,751",2198.286379028,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Newfoundland and Labrador,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",205.178626229,Completely satisfied,Everyday,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Prince Edward Island,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",202.093427017,Completely satisfied,Everyday,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,,,"$72,367 – $107,480",989.881112416,,,,,,,,Family with children <18,
British Columbia,35–44 years,Male,,,"$72,367 – $107,480",1194.302496449,Completely satisfied,Everyday,No,No,No,,,Family with children <18,Online shopper (≥ $1)
Prince Edward Island,45–54 years,Female,High school or less,Not employed,"$107,481 – $163,750",131.656595446,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Did not shop online
Alberta,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",864.130862608,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Did not shop online
Alberta,35–44 years,Male,University degree,Employed,"≥ $163,751",1519.257598026,Neutral,2–3 times a month,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
British Columbia,45–54 years,Male,University degree,Not employed,"≥ $163,751",933.927621273,Neutral,Not in the past month,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,55–64 years,Female,University degree,Not employed,"$72,367 – $107,480",331.003592106,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Female,University degree,Employed,"$72,367 – $107,480",1266.531730592,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,65 years and over,Female,High school or less,Not employed,"≤ $42,256",1200.189813138,Completely satisfied,Everyday,No,No,Yes,No,No,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",1146.568591401,Somewhat satisfied,2–3 times a month,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1495.519109842,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Saskatchewan,45–54 years,Male,University degree,Employed,"$42,257 – $72,366",1162.851696735,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
